en;fr
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue : Se terrer à l'école, en commençant par les maillots de bain - Melt_the_Asphalt.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
However, the digital temperature display on a building wall was stuck at 55 degrees Celsius. It was something like an empty cicada skin at this point, so who could say how much further the temperature had risen. ;Cependant, l'affichage numérique de la température sur un mur de l'immeuble était bloqué à 55degrés Celsius. C'était un peu comme une peau de cigale vide à ce stade.qui pourrait dire jusqu'à quel point la température a augmenté.
The intense heat wave made it feel like being trapped in a stone stove full of residual heat. ;La vague de chaleur intense leur donnait l'impression d'être enfermés dans un poêle en pierre plein dechaleur résiduelle.
Kamijou Touma and his classmates had been thrown out into that scorching hell that was just about causing the asphalt roads to ooze. ;Kamijou Touma et ses camarades de classe avaient été jetés dans cet enfer brûlant.qui était sur le point de faire suinter l'asphalte des routes.
Kamijou Touma and his classmates had been thrown out into that scorching hell that was just about causing the asphalt roads to ooze. ;Kamijou Touma et ses camarades de classe avaient été jetés dans cet enfer brûlant.qui était sur le point de faire suinter l'asphalte des routes.
The intense heat wave made it feel like being trapped in a stone stove full of residual heat. ;La vague de chaleur intense leur donnait l'impression d'être enfermés dans un poêle en pierre plein dechaleur résiduelle.
However, the digital temperature display on a building wall was stuck at 55 degrees Celsius. It was something like an empty cicada skin at this point, so who could say how much further the temperature had risen. ;La vague de chaleur intense leur donnait l'impression d'être enfermés dans un poêle en pierre plein dechaleur résiduelle.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue : Se terrer à l'école, en commençant par les maillots de bain - Melt_the_Asphalt.
It was December 7 in Academy City’s District 7. ;Prologue : Se terrer à l'école, en commençant par les maillots de bain - Melt_the_Asphalt.
However, the digital temperature display on a building wall was stuck at 55 degrees Celsius. It was something like an empty cicada skin at this point, so who could say how much further the temperature had risen. ;Cependant, l'affichage numérique de la température sur un mur de l'immeuble était bloqué à 55degrés Celsius. C'était un peu comme une peau de cigale vide à ce stade.qui pourrait dire jusqu'à quel point la température a augmenté.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue : Se terrer à l'école, en commençant par les maillots de bain - Melt_the_Asphalt.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue : Se terrer à l'école, en commençant par les maillots de bain - Melt_the_Asphalt.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue : Se terrer à l'école, en commençant par les maillots de bain - Melt_the_Asphalt
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue : Se terrer à l'école, en commençant par les maillots de bain - Melt_the_Asphalt
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
However, the digital temperature display on a building wall was stuck at 55 degrees Celsius. It was something like an empty cicada skin at this point, so who could say how much further the temperature had risen. ;Cependant, l'affichage numérique de la température sur un mur de l'immeuble était bloqué à 55degrés Celsius. C'était un peu comme une peau de cigale vide à ce stade.qui pourrait dire jusqu'à quel point la température a augmenté.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.
It was December 7 in Academy City’s District 7. ;C'était le 7 décembre dans le district 7 d'Academy City.
Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.;Prologue: Holing Up at School, Starting with Swimsuits – Melt_the_Asphalt.
